date,portfolio,spy
2023-01-03,100000.0,100000.0
2023-01-04,100000.0,100772.01827635104
2023-01-05,100000.0,99621.86859933827
2023-01-06,100000.0,101906.41247833622
2023-01-09,100000.0,101848.64240323512
2023-01-10,100000.0,102562.89060448506
2023-01-11,100000.0,103860.09138175516
2023-01-12,100000.0,104238.2227824169
2023-01-13,100000.0,104642.61330812458
2023-01-17,100000.0,104450.92169528911
2023-01-18,100000.0,102801.84864240323
2023-01-19,100000.0,102053.46357859357
2023-01-20,100000.0,103954.62423192059
2023-01-23,100000.0,105201.93267160338
2023-01-24,100000.0,105089.01843390579
2023-01-25,100000.0,105128.40712147471
2023-01-26,100763.9645,106283.80862349666
2023-01-27,100311.30179999999,106528.01848642403
2023-01-30,98606.597,105191.429021585
2023-01-31,99503.72769999999,106738.09148679166
2023-02-01,102435.95539999999,107872.48568877685
2023-02-02,107147.09619999999,109442.78136652487
2023-02-03,105608.4104,108279.50212698913
2023-02-06,104980.1777,107617.77217583111
2023-02-07,106709.31099999999,109025.26127829422
2023-02-08,105249.8047,107833.09700120792
2023-02-09,104034.9487,106898.27214957197
2023-02-10,102524.71909999999,107147.73383750854
2023-02-13,104365.33679999999,108405.5459272097
2023-02-14,105351.4491,108355.6535896224
2023-02-15,105306.76389999999,108707.52586523817
2023-02-16,103493.3103,107210.75573761882
2023-02-17,102539.46749999998,106942.9126621501
2023-02-21,100591.6693,104797.5421458957
2023-02-22,100395.1794,104653.11695814296
2023-02-23,101909.42009999999,105209.81040911717
2023-02-24,100678.26189999998,104085.91985715037
2023-02-27,101146.4729,104440.41804527074
2023-02-28,101586.17299999998,104054.40890709522
2023-03-01,100895.40029999998,103655.27020639673
2023-03-02,101831.7856,104461.42534530749
2023-03-03,104140.65039999998,106136.75752323933
2023-03-06,103836.8762,106210.283073368
2023-03-07,103181.80549999999,104582.21732051889
2023-03-08,104092.75389999998,104752.90163331758
2023-03-09,103045.38289999998,102820.23002993541
2023-03-10,102460.11389999998,101336.58946483904
2023-03-13,102499.02289999998,101192.1642770863
2023-03-14,104845.92589999999,102864.87054251353
2023-03-15,105528.22089999999,102221.52197888767
2023-03-16,107646.80789999999,104015.02021952628
2023-03-17,107079.10389999999,102407.96176671394
2023-03-20,107225.5789,103392.67895593718
2023-03-21,107637.24989999998,104750.27572081299
2023-03-22,107767.90089999998,102964.65521768815
2023-03-23,108840.60789999999,103243.00194317526
2023-03-24,108502.51989999998,103920.48736936085
2023-03-27,107940.43789999999,104114.80489470091
2023-03-28,107438.30889999999,103881.09868179192
2023-03-29,108310.79489999998,105390.99837193426
2023-03-30,108942.29589999998,106008.08781051416
2023-03-31,110002.70189999999,107502.23202562891
2023-04-03,109670.16389999999,107911.87437634578
2023-04-04,109540.62589999998,107313.16632529804
2023-04-05,108257.94789999998,107032.19368730634
2023-04-06,108870.78189999999,107449.713775537
2023-04-10,109180.90989999998,107560.00210073001
2023-04-11,108153.68989999998,107588.88713828055
2023-04-12,107789.35389999999,107150.35975001313
2023-04-13,108951.22589999999,108573.60432750381
2023-04-14,109007.29089999999,108308.38716453969
2023-04-17,108363.25689999998,108697.0222152198
2023-04-18,108508.56189999997,108767.92185284387
2023-04-19,108577.8479,108749.5404653117
