date,portfolio,spy
2022-01-03,100000.0,100000.0
2022-01-04,98628.17,99966.50687655692
2022-01-05,95538.964,98046.93223922464
2022-01-06,94413.8967,97954.82614975613
2022-01-07,92316.9527,97567.56190994536
2022-01-10,92357.5107,97446.14933746416
2022-01-11,92716.4607,98333.71710870613
2022-01-12,92829.58069999999,98599.56877603568
2022-01-13,92541.1207,97241.0039563752
2022-01-14,92171.5007,97280.77704046389
2022-01-18,91585.89069999999,95557.97450335979
2022-01-19,91359.58069999999,94565.74072135815
2022-01-20,90702.61069999999,93519.08061376149
2022-01-21,90702.61069999999,91683.23878503696
2022-01-24,90702.61069999999,92072.5963450629
2022-01-25,90702.61069999999,90948.4833895041
2022-01-26,90702.61069999999,90720.31148604803
2022-01-27,90702.61069999999,90272.34095999665
2022-01-28,90702.61069999999,92514.2869104687
2022-01-31,90702.61069999999,94180.56980176258
2022-02-01,90702.61069999999,94816.93914718134
2022-02-02,90702.61069999999,95738.00004186641
2022-02-03,90702.61069999999,93487.6808105336
2022-02-04,90702.61069999999,93927.2780557242
2022-02-07,90702.61069999999,93625.83994473635
2022-02-08,90702.61069999999,94396.18178392749
2022-02-09,90702.61069999999,95777.77312595508
2022-02-10,90702.61069999999,94057.06390906617
2022-02-11,90702.61069999999,92202.3821984049
2022-02-14,90702.61069999999,91900.94408741705
2022-02-15,90702.61069999999,93383.01479977393
2022-02-16,90702.61069999999,93487.6808105336
2022-02-17,90702.61069999999,91490.65332523917
2022-02-18,90702.61069999999,90898.24370433946
2022-02-22,90702.61069999999,89922.75648405937
2022-02-23,90702.61069999999,88327.64648008207
2022-02-24,90702.61069999999,89656.90481672982
2022-02-25,90702.61069999999,91635.0924200875
2022-02-28,90702.61069999999,91400.64055598585
2022-03-01,90702.61069999999,90008.5826128823
2022-03-02,90702.61069999999,91664.39890310021
2022-03-03,90702.61069999999,91208.05509618807
2022-03-04,90702.61069999999,90467.01974000964
2022-03-07,90702.61069999999,87800.12978585335
2022-03-08,90702.61069999999,87134.45395742187
2022-03-09,90702.61069999999,89470.59931757761
2022-03-10,90702.61069999999,89066.5885160453
2022-03-11,90702.61069999999,87934.10227962572
2022-03-14,90702.61069999999,87291.45297356138
2022-03-15,90702.61069999999,89211.02761089364
2022-03-16,90702.61069999999,91189.21521425132
2022-03-17,90702.61069999999,92330.07473153168
2022-03-18,90702.61069999999,93052.27020577338
2022-03-21,90702.61069999999,93025.05704297587
2022-03-22,90702.61069999999,94113.5835548764
2022-03-23,90702.61069999999,92901.55115027947
2022-03-24,90702.61069999999,94301.98237424379
2022-03-25,90702.61069999999,94762.51282158632
2022-03-28,90702.61069999999,95436.56193087857
2022-03-29,90702.61069999999,96617.1945322476
2022-03-30,90702.61069999999,96020.5982709175
2022-03-31,90702.61069999999,94542.71419899103
2022-04-01,90702.61069999999,94810.65918653576
2022-04-04,90702.61069999999,95622.86743003078
2022-04-05,90702.61069999999,94415.02166586423
2022-04-06,90702.61069999999,93470.93424881205
2022-04-07,90702.61069999999,93941.93129723053
2022-04-08,90702.61069999999,93690.73287140734
2022-04-11,90702.61069999999,92089.34290678446
2022-04-12,90702.61069999999,91748.13171170795
2022-04-13,90702.61069999999,92798.978459735
2022-04-14,90702.61069999999,91643.46570094828
2022-04-18,90702.61069999999,91681.14546482176
2022-04-19,90702.61069999999,93161.12285696344
2022-04-20,90702.61069999999,93092.04328986205
2022-04-21,90702.61069999999,91699.98534675849
2022-04-22,90702.61069999999,89183.81444809613
2022-04-25,90702.61069999999,89700.86454124888
2022-04-26,90702.61069999999,87103.05415419397
2022-04-27,90702.61069999999,87347.97261937159
2022-04-28,90702.61069999999,89554.33212618534
2022-04-29,90702.61069999999,86244.79286596472
2022-05-02,90702.61069999999,86763.93627933266
2022-05-03,90702.61069999999,87161.66712021938
2022-05-04,90702.61069999999,89815.9971530845
2022-05-05,90702.61069999999,86623.6838249147
2022-05-06,90702.61069999999,86106.63373176195
2022-05-09,90702.61069999999,83349.73100835235
2022-05-10,90702.61069999999,83542.31646815014
2022-05-11,90702.61069999999,82215.15145171757
2022-05-12,90702.61069999999,82129.32532289464
2022-05-13,90702.61069999999,84092.85968474598
2022-05-16,90702.61069999999,83751.64848966947
2022-05-17,90702.61069999999,85474.45102677357
2022-05-18,90702.61069999999,82028.84595256537
2022-05-19,90702.61069999999,81526.44910091897
2022-05-20,90702.61069999999,81562.03554457726
2022-05-23,90702.61069999999,83088.06598145318
2022-05-24,90702.61069999999,82453.78995624962
2022-05-25,90702.61069999999,83182.26539113688
2022-05-26,90702.61069999999,84844.36164200038
2022-05-27,90702.61069999999,86927.21525611774
2022-05-31,90702.61069999999,86439.47164597768
2022-06-01,90702.61069999999,85740.30269410313
2022-06-02,90702.61069999999,87373.09246195391
2022-06-03,90702.61069999999,85939.16811454648
2022-06-06,90702.61069999999,86200.83314144565
2022-06-07,90702.61069999999,87027.69462644702
2022-06-08,90702.61069999999,86081.51388917964
2022-06-09,90702.61069999999,84034.24671872056
2022-06-10,90702.61069999999,81597.62198823555
2022-06-13,90702.61069999999,78499.50806974943
2022-06-14,90702.61069999999,78262.96288543259
2022-06-15,90702.61069999999,79378.70256013062
2022-06-16,90702.61069999999,76751.58569006302
2022-06-17,90702.61069999999,76586.21339306275
2022-06-21,90702.61069999999,78514.16131125578
2022-06-22,90702.61069999999,78371.81553662264
2022-06-23,90702.61069999999,79140.06405559859
2022-06-24,90702.61069999999,81656.23495426096
2022-06-27,90702.61069999999,81344.33024219715
2022-06-28,90702.61069999999,79682.23399133366
2022-06-29,90702.61069999999,79617.34106466266
2022-06-30,90702.61069999999,78970.50511816793
2022-07-01,90702.61069999999,79805.73988403006
2022-07-05,90702.61069999999,79956.45893952399
2022-07-06,90702.61069999999,80226.49724728391
2022-07-07,90702.61069999999,81428.06305080488
2022-07-08,90702.61069999999,81361.0768039187
2022-07-11,90702.61069999999,80431.64262837287
2022-07-12,90702.61069999999,79719.91375520713
2022-07-13,90702.61069999999,79301.24971216847
2022-07-14,90702.61069999999,79108.66425237068
2022-07-15,90702.61069999999,80620.04144774027
2022-07-18,90702.61069999999,79954.3656193088
2022-07-19,90702.61069999999,82114.6720813883
2022-07-20,90702.61069999999,82638.00213518662
2022-07-21,90702.61069999999,83479.51686169434
2022-07-22,90702.61069999999,82704.98838207281
2022-07-25,90702.61069999999,82805.4677524021
2022-07-26,90702.61069999999,81825.79389169162
2022-07-27,90702.61069999999,83950.51391011283
2022-07-28,90702.61069999999,85003.45397835507
2022-07-29,90702.61069999999,86242.69954574952
2022-08-01,90702.61069999999,85987.31447949594
2022-08-02,90702.61069999999,85420.02470117854
2022-08-03,90702.61069999999,86757.65631868708
2022-08-04,90702.61069999999,86699.04335266165
2022-08-05,90702.61069999999,86552.51093759813
2022-08-08,90702.61069999999,86452.03156726884
2022-08-09,90702.61069999999,86108.72705197714
2022-08-10,90702.61069999999,87917.35571790417
2022-08-11,90702.61069999999,87917.35571790417
2022-08-12,90702.61069999999,89405.70639090662
2022-08-15,90702.61069999999,89774.13074878065
2022-08-16,90702.61069999999,89949.96964685689
2022-08-17,90702.61069999999,89311.50698122292
2022-08-18,90702.61069999999,89571.07868790689
2022-08-19,90702.61069999999,88367.41956417073
2022-08-22,90702.61069999999,86527.3910950158
2022-08-23,90702.61069999999,86318.05907349648
2022-08-24,90702.61069999999,86594.377341902
2022-08-25,90702.61069999999,87816.87634757489
2022-08-26,90702.61069999999,84844.36164200038
2022-08-29,90702.61069999999,84283.35182432857
2022-08-30,90702.61069999999,83358.10428921312
2022-08-31,90702.61069999999,82723.82826400954
2022-09-01,90702.61069999999,82983.39997069351
2022-09-02,90702.61069999999,82108.39212074272
2022-09-06,90702.61069999999,81798.5807288941
2022-09-07,90702.61069999999,83268.09151995981
2022-09-08,90702.61069999999,83812.35477591008
2022-09-09,90702.61069999999,85114.39994976032
2022-09-12,90702.61069999999,86029.1808837998
2022-09-13,90702.61069999999,82288.41765924935
2022-09-14,90702.61069999999,82602.41569152834
2022-09-15,90702.61069999999,81664.60823512173
2022-09-16,90702.61069999999,80710.05421699358
2022-09-19,90702.61069999999,81335.95696133639
2022-09-20,90702.61069999999,80402.33614536015
2022-09-21,90702.61069999999,78999.81160118064
2022-09-22,90702.61069999999,78336.22909296435
2022-09-23,90702.61069999999,77023.71731803815
2022-09-26,90702.61069999999,76261.74875970777
2022-09-27,90702.61069999999,76067.0699796948
2022-09-28,90702.61069999999,77563.79393355802
2022-09-29,90702.61069999999,75943.56408699839
2022-09-30,90702.61069999999,74769.21144627495
2022-10-03,90702.61069999999,76743.21240920224
2022-10-04,90702.61069999999,79121.22417366185
2022-10-05,90702.61069999999,78937.01199472483
2022-10-06,90702.61069999999,78122.71043101464
2022-10-07,90702.61069999999,75943.56408699839
2022-10-10,90702.61069999999,75363.71438738985
2022-10-11,90702.61069999999,74886.43737832576
2022-10-12,90702.61069999999,74639.42559293295
2022-10-13,90702.61069999999,76609.23991542986
2022-10-14,90702.61069999999,74863.41085595865
2022-10-17,90702.61069999999,76787.1721337213
2022-10-18,90702.61069999999,77689.39314646962
2022-10-19,90702.61069999999,77138.84992987377
2022-10-20,90702.61069999999,76492.01398337905
2022-10-21,90702.61069999999,78350.8823344707
2022-10-24,90702.61069999999,79309.62299302925
2022-10-25,90702.61069999999,80576.0817232212
2022-10-26,90702.61069999999,79969.01886081514
2022-10-27,90702.61069999999,79541.9815369157
2022-10-28,90702.61069999999,81434.34301145046
2022-10-31,90702.61069999999,80846.12003098114
2022-11-01,90702.61069999999,80492.34891461347
2022-11-02,90702.61069999999,78472.29490695192
2022-11-03,90702.61069999999,77664.2733038873
2022-11-04,90702.61069999999,78782.10629880053
2022-11-07,90702.61069999999,79535.70157627012
2022-11-08,90702.61069999999,79964.83222038475
2022-11-09,90702.61069999999,78317.38921102762
2022-11-10,90702.61069999999,82621.25557346508
2022-11-11,90702.61069999999,83420.90389566892
2022-11-14,90702.61069999999,82711.2683427184
2022-11-15,90702.61069999999,83416.71725523853
2022-11-16,90702.61069999999,82780.34790981977
2022-11-17,90702.61069999999,82527.05616378138
2022-11-18,90702.61069999999,82901.76048230098
2022-11-21,90702.61069999999,82600.32237131314
2022-11-22,90702.61069999999,83711.8754055808
2022-11-23,90702.61069999999,84239.39209980951
2022-11-25,90702.61069999999,84220.55221787277
2022-11-28,90702.61069999999,82876.64063971867
2022-11-29,90702.61069999999,82734.29486508551
2022-11-30,90702.61069999999,85340.4785330012
2022-12-01,90702.61069999999,85277.6789265454
2022-12-02,90702.61069999999,85179.29287643131
2022-12-05,90702.61069999999,83646.9824789098
2022-12-06,90702.61069999999,82441.23003495845
2022-12-07,90702.61069999999,82300.9775805405
2022-12-08,90702.61069999999,82945.72020682004
2022-12-09,90702.61069999999,82326.09742312282
2022-12-12,90702.61069999999,83513.00998513743
2022-12-13,90702.61069999999,84145.19269012581
2022-12-14,90702.61069999999,83607.20939482113
2022-12-15,90702.61069999999,81562.03554457726
2022-12-16,90702.61069999999,80230.6838877143
2022-12-19,90702.61069999999,79550.35481777648
2022-12-20,90702.61069999999,79659.20746896653
2022-12-22,90702.61069999999,79696.88723284002
2022-12-23,90702.61069999999,80155.32435996734
2022-12-27,90702.61069999999,79839.23300747316
2022-12-28,90702.61069999999,78846.99922547152
2022-12-29,90702.61069999999,80266.2703313726
2022-12-30,90702.61069999999,80054.84498963806
2023-01-03,90702.61069999999,79717.82043499194
2023-01-04,90702.61069999999,80333.25657825878
