date,portfolio,spy
2023-01-03,100000.0,100000.0
2023-01-04,100000.0,100772.01827635104
2023-01-05,100000.0,99621.86859933827
2023-01-06,100000.0,101906.41247833622
2023-01-09,100000.0,101848.64240323512
2023-01-10,100000.0,102562.89060448506
2023-01-11,100000.0,103860.09138175516
2023-01-12,100000.0,104238.2227824169
2023-01-13,100000.0,104642.61330812458
2023-01-17,100000.0,104450.92169528911
2023-01-18,100000.0,102801.84864240323
2023-01-19,100000.0,102053.46357859357
2023-01-20,100000.0,103954.62423192059
2023-01-23,100000.0,105201.93267160338
2023-01-24,100000.0,105089.01843390579
2023-01-25,100000.0,105128.40712147471
2023-01-26,100344.08,106283.80862349666
2023-01-27,100215.3,106528.01848642403
2023-01-30,99920.09,105191.429021585
2023-01-31,100458.9,106738.09148679166
2023-02-01,100941.21,107872.48568877685
2023-02-02,102330.27600000001,109442.78136652487
2023-02-03,101984.527,108279.50212698913
2023-02-06,102055.406,107617.77217583111
2023-02-07,103318.2,109025.26127829422
2023-02-08,103002.33200000001,107833.09700120792
2023-02-09,102990.524,106898.27214957197
2023-02-10,101458.852,107147.73383750854
2023-02-13,102296.395,108405.5459272097
2023-02-14,103888.138,108355.6535896224
2023-02-15,104056.751,108707.52586523817
2023-02-16,101732.639,107210.75573761882
2023-02-17,102217.655,106942.9126621501
2023-02-21,100076.422,104797.5421458957
2023-02-22,100249.221,104653.11695814296
2023-02-23,102592.311,105209.81040911717
2023-02-24,101114.513,104085.91985715037
2023-02-27,102066.588,104440.41804527074
2023-02-28,101291.83300000001,104054.40890709522
2023-03-01,100503.505,103655.27020639673
2023-03-02,100446.37100000001,104461.42534530749
2023-03-03,101602.607,106136.75752323933
2023-03-06,101231.311,106210.283073368
2023-03-07,100022.07500000001,104582.21732051889
2023-03-08,100301.278,104752.90163331758
2023-03-09,98443.61300000001,102820.23002993541
2023-03-10,97385.562,101336.58946483904
2023-03-13,97279.02300000002,101192.1642770863
2023-03-14,98835.23999999999,102864.87054251353
2023-03-15,98783.89500000002,102221.52197888767
2023-03-16,100007.14799999999,104015.02021952628
2023-03-17,99719.26200000002,102407.96176671394
2023-03-20,100333.88699999999,103392.67895593718
2023-03-21,100725.786,104750.27572081299
2023-03-22,100281.70500000002,102964.65521768815
2023-03-23,100533.57800000001,103243.00194317526
2023-03-24,100698.386,103920.48736936085
2023-03-27,100856.33799999999,104114.80489470091
2023-03-28,100648.28700000001,103881.09868179192
2023-03-29,101290.051,105390.99837193426
2023-03-30,102062.76000000001,106008.08781051416
2023-03-31,103136.114,107502.23202562891
2023-04-03,103294.67199999999,107911.87437634578
2023-04-04,102868.58000000002,107313.16632529804
2023-04-05,102834.89799999999,107032.19368730634
2023-04-06,102749.60399999999,107449.713775537
2023-04-10,102914.586,107560.00210073001
2023-04-11,102579.02599999998,107588.88713828055
2023-04-12,101817.67199999999,107150.35975001313
2023-04-13,102957.41,108573.60432750381
2023-04-14,103080.525,108308.38716453969
2023-04-17,102989.65899999999,108697.0222152198
2023-04-18,103390.504,108767.92185284387
2023-04-19,103356.438,108749.5404653117
2023-04-20,102107.041,108156.08423927314
2023-04-21,102622.746,108240.1134394202
2023-04-24,102940.629,108353.0276771178
2023-04-25,101138.458,106633.05498660785
