date,portfolio,spy
2023-01-03,100000.0,100000.0
2023-01-04,100000.0,100772.01827635104
2023-01-05,100000.0,99621.86859933827
2023-01-06,100000.0,101906.41247833622
2023-01-09,100000.0,101848.64240323512
2023-01-10,100000.0,102562.89060448506
2023-01-11,100000.0,103860.09138175516
2023-01-12,100000.0,104238.2227824169
2023-01-13,100000.0,104642.61330812458
2023-01-17,100000.0,104450.92169528911
2023-01-18,100000.0,102801.84864240323
2023-01-19,100000.0,102053.46357859357
2023-01-20,100000.0,103954.62423192059
2023-01-23,100000.0,105201.93267160338
2023-01-24,100000.0,105089.01843390579
2023-01-25,100000.0,105128.40712147471
2023-01-26,99809.5,106283.80862349666
2023-01-27,99591.65,106528.01848642403
2023-01-30,99314.10999999999,105191.429021585
2023-01-31,100109.84,106738.09148679166
2023-02-01,100244.51,107872.48568877685
2023-02-02,104260.68599999999,109442.78136652487
2023-02-03,103072.769,108279.50212698913
2023-02-06,102469.93999999999,107617.77217583111
2023-02-07,104060.71399999999,109025.26127829422
2023-02-08,102606.43999999999,107833.09700120792
2023-02-09,101694.35599999999,106898.27214957197
2023-02-10,100026.496,107147.73383750854
2023-02-13,101931.86899999999,108405.5459272097
2023-02-14,102959.286,108355.6535896224
2023-02-15,102995.715,108707.52586523817
2023-02-16,100684.00299999998,107210.75573761882
2023-02-17,100109.40699999999,106942.9126621501
2023-02-21,98207.976,104797.5421458957
2023-02-22,97713.27699999999,104653.11695814296
2023-02-23,99193.51299999999,105209.81040911717
2023-02-24,98024.53099999999,104085.91985715037
2023-02-27,98432.06599999999,104440.41804527074
2023-02-28,99089.625,104054.40890709522
2023-03-01,98661.12099999998,103655.27020639673
2023-03-02,99548.443,104461.42534530749
2023-03-03,102137.05299999999,106136.75752323933
2023-03-06,101826.94499999998,106210.283073368
2023-03-07,101451.739,104582.21732051889
2023-03-08,102478.932,104752.90163331758
2023-03-09,101146.033,102820.23002993541
2023-03-10,100366.16,101336.58946483904
2023-03-13,100469.68299999999,101192.1642770863
2023-03-14,103168.59,102864.87054251353
2023-03-15,103592.133,102221.52197888767
2023-03-16,105842.166,104015.02021952628
2023-03-17,105240.502,102407.96176671394
2023-03-20,105392.237,103392.67895593718
2023-03-21,105797.938,104750.27572081299
2023-03-22,105881.70899999999,102964.65521768815
2023-03-23,106857.90599999999,103243.00194317526
2023-03-24,106588.26799999998,103920.48736936085
2023-03-27,106066.326,104114.80489470091
2023-03-28,105607.51699999999,103881.09868179192
2023-03-29,106413.813,105390.99837193426
2023-03-30,106986.954,106008.08781051416
2023-03-31,108301.91399999999,107502.23202562891
2023-04-03,107763.37399999998,107911.87437634578
2023-04-04,107291.73999999999,107313.16632529804
2023-04-05,105939.23199999999,107032.19368730634
2023-04-06,106191.91399999999,107449.713775537
2023-04-10,105776.562,107560.00210073001
2023-04-11,105056.122,107588.88713828055
2023-04-12,104453.08599999998,107150.35975001313
2023-04-13,106376.158,108573.60432750381
2023-04-14,106274.243,108308.38716453969
2023-04-17,105968.549,108697.0222152198
2023-04-18,105947.434,108767.92185284387
2023-04-19,105806.76,108749.5404653117
2023-04-20,104319.107,108156.08423927314
2023-04-21,104181.862,108240.1134394202
2023-04-24,103913.019,108353.0276771178
