date,portfolio,spy
2023-01-03,100000.0,100000.0
2023-01-04,100000.0,100772.01827635104
2023-01-05,100000.0,99621.86859933827
2023-01-06,100000.0,101906.41247833622
2023-01-09,100000.0,101848.64240323512
2023-01-10,100000.0,102562.89060448506
2023-01-11,100000.0,103860.09138175516
2023-01-12,100000.0,104238.2227824169
2023-01-13,100000.0,104642.61330812458
2023-01-17,100000.0,104450.92169528911
2023-01-18,98932.94700000001,102801.84864240323
2023-01-19,97002.50099999999,102053.46357859357
2023-01-20,101489.497,103954.62423192059
2023-01-23,106121.77299999999,105201.93267160338
2023-01-24,105832.541,105089.01843390579
2023-01-25,106130.611,105128.40712147471
2023-01-26,107744.87,106283.80862349666
2023-01-27,109390.489,106528.01848642403
2023-01-30,105883.978,105191.429021585
2023-01-31,107821.163,106738.09148679166
2023-02-01,113296.75700000001,107872.48568877685
2023-02-02,121896.125,109442.78136652487
2023-02-03,118407.71000000002,108279.50212698913
2023-02-06,117195.843,107617.77217583111
2023-02-07,119800.089,109025.26127829422
2023-02-08,118184.52100000001,107833.09700120792
2023-02-09,116553.981,106898.27214957197
2023-02-10,113412.217,107147.73383750854
2023-02-13,116182.478,108405.5459272097
2023-02-14,118318.555,108355.6535896224
2023-02-15,117940.18599999999,108707.52586523817
2023-02-16,113893.968,107210.75573761882
2023-02-17,112530.84599999999,106942.9126621501
2023-02-21,110048.975,104797.5421458957
2023-02-22,109825.918,104653.11695814296
2023-02-23,113255.66200000001,105209.81040911717
2023-02-24,111800.868,104085.91985715037
2023-02-27,112434.97899999999,104440.41804527074
2023-02-28,112782.444,104054.40890709522
2023-03-01,111433.55,103655.27020639673
2023-03-02,112726.54800000001,104461.42534530749
2023-03-03,115131.596,106136.75752323933
2023-03-06,114626.668,106210.283073368
2023-03-07,114538.4,104582.21732051889
2023-03-08,116424.889,104752.90163331758
2023-03-09,114811.204,102820.23002993541
2023-03-10,113640.22099999999,101336.58946483904
2023-03-13,113835.894,101192.1642770863
2023-03-14,115672.694,102864.87054251353
2023-03-15,116194.894,102221.52197888767
2023-03-16,117200.094,104015.02021952628
2023-03-17,115895.294,102407.96176671394
2023-03-20,116203.294,103392.67895593718
2023-03-21,116812.294,104750.27572081299
2023-03-22,116483.294,102964.65521768815
2023-03-23,117109.094,103243.00194317526
2023-03-24,117351.294,103920.48736936085
2023-03-27,116907.494,104114.80489470091
2023-03-28,116605.094,103881.09868179192
2023-03-29,117258.894,105390.99837193426
2023-03-30,118527.31899999999,106008.08781051416
2023-03-31,120374.34899999999,107502.23202562891
2023-04-03,120397.31899999999,107911.87437634578
2023-04-04,120116.37899999999,107313.16632529804
2023-04-05,118150.65899999999,107032.19368730634
2023-04-06,120288.65899999999,107449.713775537
2023-04-10,120661.62899999999,107560.00210073001
2023-04-11,119120.73899999999,107588.88713828055
2023-04-12,118099.57899999998,107150.35975001313
2023-04-13,119980.33899999998,108573.60432750381
2023-04-14,120307.67399999998,108308.38716453969
2023-04-17,119322.13399999999,108697.0222152198
2023-04-18,119378.84899999999,108767.92185284387
2023-04-19,119267.72899999999,108749.5404653117
2023-04-20,118299.21399999998,108156.08423927314
2023-04-21,117895.25899999999,108240.1134394202
2023-04-24,117418.66399999998,108353.0276771178
