date,portfolio,spy
2022-01-03,100000.0,100000.0
2022-01-04,99845.28,99966.50687655692
2022-01-05,97168.298,98046.93223922464
2022-01-06,96770.527,97954.82614975613
2022-01-07,94743.689,97567.56190994536
2022-01-10,94226.81,97446.14933746416
2022-01-11,94333.69,98333.71710870613
2022-01-12,94562.32999999999,98599.56877603568
2022-01-13,94444.56999999999,97241.0039563752
2022-01-14,93141.53,97280.77704046389
2022-01-18,92488.89,95557.97450335979
2022-01-19,92192.09,94565.74072135815
2022-01-20,91330.48999999999,93519.08061376149
2022-01-21,91330.48999999999,91683.23878503696
2022-01-24,91330.48999999999,92072.5963450629
2022-01-25,91330.48999999999,90948.4833895041
2022-01-26,91330.48999999999,90720.31148604803
2022-01-27,91330.48999999999,90272.34095999665
2022-01-28,91330.48999999999,92514.2869104687
2022-01-31,91330.48999999999,94180.56980176258
2022-02-01,91330.48999999999,94816.93914718134
2022-02-02,91330.48999999999,95738.00004186641
2022-02-03,91330.48999999999,93487.6808105336
2022-02-04,91330.48999999999,93927.2780557242
2022-02-07,91330.48999999999,93625.83994473635
2022-02-08,91330.48999999999,94396.18178392749
2022-02-09,91330.48999999999,95777.77312595508
2022-02-10,91330.48999999999,94057.06390906617
2022-02-11,91330.48999999999,92202.3821984049
2022-02-14,91330.48999999999,91900.94408741705
2022-02-15,91330.48999999999,93383.01479977393
2022-02-16,91330.48999999999,93487.6808105336
2022-02-17,91330.48999999999,91490.65332523917
2022-02-18,91330.48999999999,90898.24370433946
2022-02-22,91330.48999999999,89922.75648405937
2022-02-23,91330.48999999999,88327.64648008207
2022-02-24,91330.48999999999,89656.90481672982
2022-02-25,91330.48999999999,91635.0924200875
2022-02-28,91330.48999999999,91400.64055598585
2022-03-01,91330.48999999999,90008.5826128823
2022-03-02,91330.48999999999,91664.39890310021
2022-03-03,91330.48999999999,91208.05509618807
2022-03-04,91330.48999999999,90467.01974000964
2022-03-07,91330.48999999999,87800.12978585335
2022-03-08,91330.48999999999,87134.45395742187
2022-03-09,91330.48999999999,89470.59931757761
2022-03-10,91330.48999999999,89066.5885160453
2022-03-11,91330.48999999999,87934.10227962572
2022-03-14,91330.48999999999,87291.45297356138
2022-03-15,91330.48999999999,89211.02761089364
2022-03-16,91330.48999999999,91189.21521425132
2022-03-17,91330.48999999999,92330.07473153168
2022-03-18,91330.48999999999,93052.27020577338
2022-03-21,91330.48999999999,93025.05704297587
2022-03-22,91330.48999999999,94113.5835548764
2022-03-23,91330.48999999999,92901.55115027947
2022-03-24,91330.48999999999,94301.98237424379
2022-03-25,91330.48999999999,94762.51282158632
2022-03-28,91330.48999999999,95436.56193087857
2022-03-29,91330.48999999999,96617.1945322476
2022-03-30,91330.48999999998,96020.5982709175
2022-03-31,90485.39999999998,94542.71419899103
2022-04-01,91272.93999999997,94810.65918653576
2022-04-04,91457.44999999998,95622.86743003078
2022-04-05,91152.69999999998,94415.02166586423
2022-04-06,92561.74999999999,93470.93424881205
2022-04-07,93858.63999999997,93941.93129723053
2022-04-08,94931.60999999999,93690.73287140734
2022-04-11,92332.02999999998,92089.34290678446
2022-04-12,92896.19999999997,91748.13171170795
2022-04-13,92573.33999999997,92798.978459735
2022-04-14,92252.79999999999,91643.46570094828
2022-04-18,92068.41999999998,91681.14546482176
2022-04-19,92219.68999999997,93161.12285696344
2022-04-20,92227.73999999998,93092.04328986205
2022-04-21,91431.01999999999,91699.98534675849
2022-04-22,90789.24999999999,89183.81444809613
2022-04-25,90863.87999999998,89700.86454124888
2022-04-26,90219.73999999999,87103.05415419397
2022-04-27,91030.99999999999,87347.97261937159
2022-04-28,91515.60999999999,89554.33212618534
2022-04-29,90024.15999999997,86244.79286596472
2022-05-02,90555.53999999998,86763.93627933266
2022-05-03,90531.08999999998,87161.66712021938
2022-05-04,91528.64999999998,89815.9971530845
2022-05-05,91070.61999999998,86623.6838249147
2022-05-06,91070.61999999998,86106.63373176195
2022-05-09,91070.61999999998,83349.73100835235
2022-05-10,91070.61999999998,83542.31646815014
2022-05-11,91070.61999999998,82215.15145171757
2022-05-12,91070.61999999998,82129.32532289464
2022-05-13,91070.61999999998,84092.85968474598
2022-05-16,91070.61999999998,83751.64848966947
2022-05-17,91070.61999999998,85474.45102677357
2022-05-18,91070.61999999998,82028.84595256537
2022-05-19,91070.61999999998,81526.44910091897
2022-05-20,91070.61999999998,81562.03554457726
2022-05-23,91070.61999999998,83088.06598145318
2022-05-24,91070.61999999998,82453.78995624962
2022-05-25,91070.61999999998,83182.26539113688
2022-05-26,91070.61999999998,84844.36164200038
2022-05-27,91070.61999999998,86927.21525611774
2022-05-31,91070.61999999998,86439.47164597768
2022-06-01,91070.61999999998,85740.30269410313
2022-06-02,91070.61999999998,87373.09246195391
2022-06-03,91070.61999999998,85939.16811454648
2022-06-06,91070.61999999998,86200.83314144565
2022-06-07,91070.61999999998,87027.69462644702
2022-06-08,91070.61999999998,86081.51388917964
2022-06-09,91070.61999999998,84034.24671872056
2022-06-10,91070.61999999998,81597.62198823555
2022-06-13,91070.61999999998,78499.50806974943
2022-06-14,91070.61999999998,78262.96288543259
2022-06-15,91070.61999999998,79378.70256013062
2022-06-16,91070.61999999998,76751.58569006302
2022-06-17,91070.61999999998,76586.21339306275
2022-06-21,91070.61999999998,78514.16131125578
2022-06-22,91070.61999999998,78371.81553662264
2022-06-23,91070.61999999998,79140.06405559859
2022-06-24,91070.61999999998,81656.23495426096
2022-06-27,91070.61999999998,81344.33024219715
2022-06-28,91070.61999999998,79682.23399133366
2022-06-29,91070.61999999998,79617.34106466266
2022-06-30,91070.61999999998,78970.50511816793
2022-07-01,91070.61999999998,79805.73988403006
2022-07-05,91070.61999999998,79956.45893952399
2022-07-06,91070.61999999998,80226.49724728391
2022-07-07,91070.61999999998,81428.06305080488
2022-07-08,91070.61999999998,81361.0768039187
2022-07-11,91070.61999999998,80431.64262837287
2022-07-12,91070.61999999998,79719.91375520713
2022-07-13,91070.61999999998,79301.24971216847
2022-07-14,91070.61999999998,79108.66425237068
2022-07-15,91070.61999999998,80620.04144774027
2022-07-18,91070.61999999998,79954.3656193088
2022-07-19,91070.61999999998,82114.6720813883
2022-07-20,91070.61999999998,82638.00213518662
2022-07-21,91070.61999999998,83479.51686169434
2022-07-22,91070.61999999998,82704.98838207281
2022-07-25,91070.61999999998,82805.4677524021
2022-07-26,91070.61999999998,81825.79389169162
2022-07-27,91070.61999999998,83950.51391011283
2022-07-28,91070.61999999998,85003.45397835507
2022-07-29,91070.61999999998,86242.69954574952
2022-08-01,91070.61999999998,85987.31447949594
2022-08-02,91070.61999999998,85420.02470117854
2022-08-03,91070.61999999998,86757.65631868708
2022-08-04,91070.61999999998,86699.04335266165
2022-08-05,91070.61999999998,86552.51093759813
2022-08-08,91070.61999999998,86452.03156726884
2022-08-09,91070.61999999998,86108.72705197714
2022-08-10,91070.61999999998,87917.35571790417
2022-08-11,91070.61999999998,87917.35571790417
2022-08-12,91070.61999999998,89405.70639090662
2022-08-15,91070.61999999998,89774.13074878065
2022-08-16,91070.61999999998,89949.96964685689
2022-08-17,91070.61999999998,89311.50698122292
2022-08-18,91070.61999999998,89571.07868790689
2022-08-19,91070.61999999998,88367.41956417073
2022-08-22,91070.61999999998,86527.3910950158
2022-08-23,91070.61999999998,86318.05907349648
2022-08-24,91070.61999999998,86594.377341902
2022-08-25,91070.61999999998,87816.87634757489
2022-08-26,91070.61999999998,84844.36164200038
2022-08-29,91070.61999999998,84283.35182432857
2022-08-30,91070.61999999998,83358.10428921312
2022-08-31,91070.61999999998,82723.82826400954
2022-09-01,91070.61999999998,82983.39997069351
2022-09-02,91070.61999999998,82108.39212074272
2022-09-06,91070.61999999998,81798.5807288941
2022-09-07,91070.61999999998,83268.09151995981
2022-09-08,91070.61999999998,83812.35477591008
2022-09-09,91070.61999999998,85114.39994976032
2022-09-12,91070.61999999998,86029.1808837998
2022-09-13,91070.61999999998,82288.41765924935
2022-09-14,91070.61999999998,82602.41569152834
2022-09-15,91070.61999999998,81664.60823512173
2022-09-16,91070.61999999998,80710.05421699358
2022-09-19,91070.61999999998,81335.95696133639
2022-09-20,91070.61999999998,80402.33614536015
2022-09-21,91070.61999999998,78999.81160118064
2022-09-22,91070.61999999998,78336.22909296435
2022-09-23,91070.61999999998,77023.71731803815
2022-09-26,91070.61999999998,76261.74875970777
2022-09-27,91070.61999999998,76067.0699796948
2022-09-28,91070.61999999998,77563.79393355802
2022-09-29,91070.61999999998,75943.56408699839
2022-09-30,91070.61999999998,74769.21144627495
2022-10-03,91070.61999999998,76743.21240920224
2022-10-04,91070.61999999998,79121.22417366185
2022-10-05,91070.61999999998,78937.01199472483
2022-10-06,91070.61999999998,78122.71043101464
2022-10-07,91070.61999999998,75943.56408699839
2022-10-10,91070.61999999998,75363.71438738985
2022-10-11,91070.61999999998,74886.43737832576
2022-10-12,91070.61999999998,74639.42559293295
2022-10-13,91070.61999999998,76609.23991542986
2022-10-14,91070.61999999998,74863.41085595865
2022-10-17,91070.61999999998,76787.1721337213
2022-10-18,91070.61999999998,77689.39314646962
2022-10-19,91070.61999999998,77138.84992987377
2022-10-20,91070.61999999998,76492.01398337905
2022-10-21,91070.61999999998,78350.8823344707
2022-10-24,91070.61999999998,79309.62299302925
2022-10-25,91070.61999999998,80576.0817232212
2022-10-26,91070.61999999998,79969.01886081514
2022-10-27,91070.61999999998,79541.9815369157
2022-10-28,91070.61999999998,81434.34301145046
2022-10-31,91070.61999999998,80846.12003098114
2022-11-01,91070.61999999998,80492.34891461347
2022-11-02,91070.61999999998,78472.29490695192
2022-11-03,91070.61999999998,77664.2733038873
2022-11-04,91070.61999999998,78782.10629880053
2022-11-07,91070.61999999998,79535.70157627012
2022-11-08,91070.61999999998,79964.83222038475
2022-11-09,91070.61999999998,78317.38921102762
2022-11-10,91070.61999999998,82621.25557346508
2022-11-11,91070.61999999998,83420.90389566892
2022-11-14,91070.61999999998,82711.2683427184
2022-11-15,91070.61999999998,83416.71725523853
2022-11-16,91070.61999999998,82780.34790981977
2022-11-17,91070.61999999998,82527.05616378138
2022-11-18,91070.61999999998,82901.76048230098
2022-11-21,91070.61999999998,82600.32237131314
2022-11-22,91070.61999999998,83711.8754055808
2022-11-23,91070.61999999998,84239.39209980951
2022-11-25,91070.61999999998,84220.55221787277
