date,portfolio,spy
2023-01-03,100000.0,100000.0
2023-01-04,100000.0,100772.01827635104
2023-01-05,100000.0,99621.86859933827
2023-01-06,100000.0,101906.41247833622
2023-01-09,100000.0,101848.64240323512
2023-01-10,100000.0,102562.89060448506
2023-01-11,100000.0,103860.09138175516
2023-01-12,100000.0,104238.2227824169
2023-01-13,100000.0,104642.61330812458
2023-01-17,100000.0,104450.92169528911
2023-01-18,100000.0,102801.84864240323
2023-01-19,100000.0,102053.46357859357
2023-01-20,100000.0,103954.62423192059
2023-01-23,100000.0,105201.93267160338
2023-01-24,100000.0,105089.01843390579
2023-01-25,100000.0,105128.40712147471
2023-01-26,100146.98000000001,106283.80862349666
2023-01-27,100092.70000000001,106528.01848642403
2023-01-30,99968.8,105191.429021585
2023-01-31,100198.14,106738.09148679166
2023-02-01,100399.94,107872.48568877685
2023-02-02,104179.31,109442.78136652487
2023-02-03,102995.85999999999,108279.50212698913
2023-02-06,103036.82,107617.77217583111
2023-02-07,103664.48000000001,109025.26127829422
2023-02-08,103196.48,107833.09700120792
2023-02-09,102868.81,106898.27214957197
2023-02-10,101780.95999999999,107147.73383750854
2023-02-13,102147.36,108405.5459272097
2023-02-14,102969.35999999999,108355.6535896224
2023-02-15,103375.48999999999,108707.52586523817
2023-02-16,101801.43,107210.75573761882
2023-02-17,102029.12,106942.9126621501
2023-02-21,100841.69,104797.5421458957
2023-02-22,100933.93,104653.11695814296
2023-02-23,101064.83000000002,105209.81040911717
2023-02-24,100376.29400000001,104085.91985715037
2023-02-27,100974.18900000001,104440.41804527074
2023-02-28,100524.364,104054.40890709522
2023-03-01,99940.31800000001,103655.27020639673
2023-03-02,99768.6,104461.42534530749
2023-03-03,100173.45200000002,106136.75752323933
2023-03-06,100218.55,106210.283073368
2023-03-07,99815.71800000001,104582.21732051889
2023-03-08,100317.819,104752.90163331758
2023-03-09,99850.81400000001,102820.23002993541
2023-03-10,99836.36400000002,101336.58946483904
2023-03-13,99946.96400000002,101192.1642770863
2023-03-14,99949.42400000003,102864.87054251353
2023-03-15,100153.68400000001,102221.52197888767
2023-03-16,99998.44400000002,104015.02021952628
2023-03-17,99713.50400000002,102407.96176671394
2023-03-20,100160.34400000001,103392.67895593718
2023-03-21,100141.07400000002,104750.27572081299
2023-03-22,99802.55400000002,102964.65521768815
2023-03-23,99374.18400000001,103243.00194317526
2023-03-24,99895.53400000001,103920.48736936085
2023-03-27,99999.15400000001,104114.80489470091
2023-03-28,100034.31400000001,103881.09868179192
2023-03-29,100200.92400000001,105390.99837193426
2023-03-30,100231.05400000002,106008.08781051416
2023-03-31,100408.94400000002,107502.23202562891
2023-04-03,100566.91400000002,107911.87437634578
2023-04-04,100428.214,107313.16632529804
2023-04-05,100626.64400000001,107032.19368730634
2023-04-06,100711.00400000002,107449.713775537
2023-04-10,100335.81400000001,107560.00210073001
2023-04-11,100280.04400000002,107588.88713828055
2023-04-12,100139.80400000002,107150.35975001313
2023-04-13,100710.16400000002,108573.60432750381
2023-04-14,100819.024,108308.38716453969
2023-04-17,100105.554,108697.0222152198
2023-04-18,99990.25400000002,108767.92185284387
2023-04-19,99723.42400000003,108749.5404653117
2023-04-20,98112.12400000001,108156.08423927314
