date,portfolio,spy
2023-01-03,100000.0,100000.0
2023-01-04,100000.0,100772.01827635104
2023-01-05,100000.0,99621.86859933827
2023-01-06,100000.0,101906.41247833622
2023-01-09,100000.0,101848.64240323512
2023-01-10,100000.0,102562.89060448506
2023-01-11,100000.0,103860.09138175516
2023-01-12,100000.0,104238.2227824169
2023-01-13,100000.0,104642.61330812458
2023-01-17,100000.0,104450.92169528911
2023-01-18,100000.0,102801.84864240323
2023-01-19,100000.0,102053.46357859357
2023-01-20,100000.0,103954.62423192059
2023-01-23,100000.0,105201.93267160338
2023-01-24,100000.0,105089.01843390579
2023-01-25,100000.0,105128.40712147471
2023-01-26,100763.9645,106283.80862349666
2023-01-27,100311.30179999999,106528.01848642403
2023-01-30,98606.597,105191.429021585
2023-01-31,99503.72769999999,106738.09148679166
2023-02-01,102435.95539999999,107872.48568877685
2023-02-02,107147.09619999999,109442.78136652487
2023-02-03,105608.4104,108279.50212698913
2023-02-06,104980.1777,107617.77217583111
2023-02-07,106709.31099999999,109025.26127829422
2023-02-08,105249.8047,107833.09700120792
2023-02-09,104034.9487,106898.27214957197
2023-02-10,102524.71909999999,107147.73383750854
2023-02-13,104365.33679999999,108405.5459272097
2023-02-14,105351.4491,108355.6535896224
2023-02-15,105306.76389999999,108707.52586523817
2023-02-16,103667.77029999999,107210.75573761882
2023-02-17,102834.70749999999,106942.9126621501
2023-02-21,101229.72929999999,104797.5421458957
2023-02-22,101164.26739999998,104653.11695814296
2023-02-23,102492.33609999999,105209.81040911717
2023-02-24,101408.79789999998,104085.91985715037
2023-02-27,101689.12889999998,104440.41804527074
2023-02-28,101913.13299999999,104054.40890709522
2023-03-01,101239.9283,103655.27020639673
2023-03-02,102052.36159999999,104461.42534530749
2023-03-03,104235.5024,106136.75752323933
2023-03-06,104314.2242,106210.283073368
2023-03-07,103541.00149999998,104582.21732051889
2023-03-08,104453.72589999999,104752.90163331758
2023-03-09,103329.37089999998,102820.23002993541
2023-03-10,102744.10189999998,101336.58946483904
2023-03-13,102783.0109,101192.1642770863
2023-03-14,105129.91389999999,102864.87054251353
2023-03-15,105812.20889999998,102221.52197888767
2023-03-16,107930.79589999998,104015.02021952628
2023-03-17,107363.09189999998,102407.96176671394
2023-03-20,107509.56689999998,103392.67895593718
2023-03-21,107921.23789999998,104750.27572081299
2023-03-22,108051.88889999999,102964.65521768815
2023-03-23,109124.59589999999,103243.00194317526
2023-03-24,108786.50789999998,103920.48736936085
2023-03-27,108224.42589999999,104114.80489470091
2023-03-28,107722.29689999999,103881.09868179192
2023-03-29,108594.78289999999,105390.99837193426
2023-03-30,109226.28389999998,106008.08781051416
2023-03-31,110361.15989999998,107502.23202562891
2023-04-03,110235.19189999998,107911.87437634578
2023-04-04,110044.58389999998,107313.16632529804
2023-04-05,108691.76589999998,107032.19368730634
2023-04-06,109026.01989999998,107449.713775537
2023-04-10,109142.93789999999,107560.00210073001
2023-04-11,108318.25789999998,107588.88713828055
2023-04-12,107836.34189999998,107150.35975001313
2023-04-13,109305.94389999998,108573.60432750381
2023-04-14,109516.80889999999,108308.38716453969
2023-04-17,108909.65489999998,108697.0222152198
2023-04-18,109026.61989999998,108767.92185284387
2023-04-19,109076.14589999997,108749.5404653117
